index,null_percent,mean_fixation_duration,fixation_rate,Hs,Ht,N_unique_seq_3,count_of_most_seq_3,N_unique_seq_more_than_2_times_3,mean_repetition_3,N_unique_seq_4,count_of_most_seq_4,N_unique_seq_more_than_2_times_4,mean_repetition_4,N_unique_seq_5,count_of_most_seq_5,N_unique_seq_more_than_2_times_5,mean_repetition_5,N_unique_seq_6,count_of_most_seq_6,N_unique_seq_more_than_2_times_6,mean_repetition_6,pID,group,trial
2,0.06643279982459988,1.034787477064217,0.7365534431758413,2.2550321624516463,1.6563791746997216,46,0.04672897196261682,29,3.103448275862069,86,0.02830188679245283,16,2.25,100,0.01904761904761905,5,2.0,103,0.019230769230769232,1,2.0,003,1,1
3,0.055227248307725366,0.7192888028168997,0.9404863670937647,2.1508993789364617,1.4120273283713316,41,0.1,21,5.714285714285714,65,0.06474820143884892,28,3.642857142857143,94,0.028985507246376812,29,2.5172413793103448,118,0.021897810218978103,18,2.0555555555555554,004,1,1
6,0.05299199325747998,0.9949834299065364,0.6948644297417766,2.3459534090408574,1.568751685314634,47,0.11428571428571428,16,4.625,66,0.07692307692307693,18,3.111111111111111,78,0.05825242718446602,12,3.0833333333333335,85,0.049019607843137254,7,3.4285714285714284,007,1,1
8,0.049508059451538626,1.132092726415098,0.6839066985577092,2.4312607936654373,1.7480334486236646,56,0.08653846153846154,27,2.7777777777777777,78,0.038834951456310676,20,2.25,93,0.029411764705882353,8,2.125,100,0.019801980198019802,1,2.0,010,1,1
16,0.09147187533354681,0.5361953518518484,1.0681455709136207,2.0886865250393742,1.393922982662788,44,0.175,26,5.461538461538462,74,0.10062893081761007,34,3.5,104,0.0759493670886076,29,2.8620689655172415,127,0.05732484076433121,18,2.6666666666666665,023,1,1
18,0.13852097130242827,1.145567036585364,0.5579009507414621,2.294313068459287,1.3197140803195648,33,0.0875,17,3.764705882352941,49,0.06329113924050633,17,2.764705882352941,62,0.05128205128205128,11,2.4545454545454546,69,0.03896103896103896,6,2.3333333333333335,027,1,1
19,0.03173798418170756,0.7171782743902456,1.0258775998162326,2.4079643660823775,1.7195079313922768,63,0.10493827160493827,27,4.666666666666667,98,0.062111801242236024,26,3.423076923076923,123,0.04375,19,2.9473684210526314,137,0.031446540880503145,13,2.6923076923076925,029,1,1
20,0.03441882025727199,0.9994670673076944,0.7434553535866157,2.1598869686171653,1.485227659935686,44,0.14705882352941177,20,3.9,71,0.0891089108910891,15,3.0,88,0.05,6,3.0,93,0.030303030303030304,4,2.5,032,1,1
0,0.10239604598689159,0.826981258620691,0.7689418194556821,2.0927533977004003,1.1275387106062,37,0.22807017543859648,19,5.052631578947368,54,0.17699115044247787,16,4.6875,69,0.16071428571428573,10,5.3,75,0.12612612612612611,10,4.6,001,2,1
1,0.03538763066202091,0.7862103576642374,0.9195335395630043,2.1982563139910622,1.4313236543986152,44,0.13333333333333333,23,4.956521739130435,64,0.07462686567164178,25,3.8,86,0.06015037593984962,23,3.0434782608695654,103,0.03787878787878788,17,2.7058823529411766,002,2,1
4,0.10727209058013307,0.8641740199999981,0.719532726812815,2.511151966469251,1.7895834205380678,54,0.1326530612244898,19,3.3157894736842106,71,0.061855670103092786,13,3.0,78,0.0625,11,2.6363636363636362,83,0.031578947368421054,10,2.2,005,2,1
5,0.15473209814722083,1.1851473222222246,0.5556061808817035,1.9969531394669735,1.1986156663671568,29,0.1590909090909091,15,4.933333333333334,44,0.09195402298850575,15,3.8666666666666667,58,0.06976744186046512,13,3.1538461538461537,71,0.058823529411764705,7,3.0,006,2,1
9,0.07796038769490098,1.5391837162162196,0.480560502911502,2.401958388677766,1.642438843008728,44,0.125,10,3.8,54,0.08450704225352113,8,3.125,60,0.05714285714285714,6,2.6666666666666665,62,0.043478260869565216,5,2.4,011,2,1
10,0.06553527590991567,0.6556929461538438,0.8553201661092293,2.3725883577896494,1.6686443776342907,58,0.1171875,27,3.5925925925925926,87,0.07874015748031496,15,3.6666666666666665,102,0.07142857142857142,8,4.0,108,0.056,6,3.8333333333333335,014,2,1
