Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,820.4562,449.5678,57.010523,4.79587470181286
1,820.4828,450.0113,57.030538,4.72604087553918
1,820.3964,449.9521,57.044542,4.72675357013941
1,820.3937,450.6837,57.058526,4.71533741801977
1,820.7437,450.8062,57.076563,4.8035136424005
1,820.9589,450.679,57.090528,4.86205355264246
1,821.4341,450.0574,57.106528,4.89809387363493
1,821.6894,449.1121,57.124565,4.92226961068809
-1,NaN,NaN,57.138531,-1
-1,NaN,NaN,57.152533,-1
-1,NaN,NaN,57.168531,-1
1,818.6525,471.7979,57.188533,4.93547692894936
-1,NaN,NaN,57.202533,-1
-1,NaN,NaN,57.218537,-1
1,808.4517,479.3196,57.236537,4.90650441497564
-1,NaN,NaN,57.250535,-1
-1,NaN,NaN,57.266536,-1
-1,NaN,NaN,57.282549,-1
1,810.8491,478.7486,57.302552,5.12424949556589
1,804.5253,466.978,57.318553,5.13659417629242
1,814.2125,422.8304,57.334551,4.8268532846123
1,822.5436,387.0771,57.350542,5.02648809924722
1,828.4167,351.081,57.366557,4.75702341645956
1,834.8234,319.466,57.382543,4.69736126251519
1,842.1233,269.9377,57.400561,4.72252233885229
1,857.0337,219.4089,57.414561,4.6939505264163
1,864.9325,203.5338,57.432564,4.68291155993938
1,859.7319,207.7508,57.448546,4.40792040899396
1,860.5359,210.5608,57.464546,4.66451421380043
1,865.3947,206.8027,57.480567,5.02725411206484
1,868.8627,208.7625,57.498549,4.69599314965308
1,885.398,199.8622,57.51055,4.89348405972123
1,890.3068,200.2727,57.530557,4.73063881509006
1,900.9464,197.8128,57.544554,4.69347462058067
1,906.3409,197.0276,57.560556,4.77628549560905
-1,NaN,NaN,57.578551,-1
1,914.4782,195.348,57.596555,4.80822939425707
1,920.4775,191.8045,57.608556,4.82783699408174
1,915.0449,196.6461,57.629576,4.83613763935864
1,909.1145,201.3246,57.643556,4.83035435900092
1,904.5453,202.2078,57.657568,4.84812445938587
1,899.1965,204.1452,57.677564,4.88672405481339
1,898.4507,202.2678,57.691571,4.94869146496058
1,899.8907,200.4664,57.707571,4.95818536728621
1,900.0857,198.0236,57.727579,4.82519646175206
1,904.4894,197.7736,57.739581,4.89977980032563
1,904.2322,198.9728,57.757562,4.77344123646617
1,907.8217,198.7854,57.775582,4.8103064764291
1,909.2216,199.9343,57.789581,4.73626237362623
1,909.815,203.1483,57.805562,4.6553888823837
1,908.6638,210.0592,57.821564,4.5133582316339
1,905.2441,218.8396,57.837566,4.45097289048135
1,900.0705,229.1146,57.853566,4.39705094322562
1,895.0731,239.8002,57.871567,4.39799390733242
1,890.0675,250.2922,57.885568,4.51281853020191
1,890.3702,257.2897,57.901578,4.96912468224764
1,890.4775,263.4594,57.917587,4.75030508823693
1,893.7422,264.3304,57.93557,4.78807650506496
1,894.7288,263.243,57.95157,4.83562098816037
1,903.6669,256.0045,57.967572,4.9608126282692
1,905.9203,249.767,57.983573,4.84910677187145
1,914.8965,239.5413,58.001574,4.85594966448843
1,917.3708,233.424,58.015574,4.77915862575173
1,920.3327,228.5871,58.033574,4.69207484275103
1,919.3406,229.0937,58.049582,4.68211644329131
1,919.4803,230.1054,58.065593,4.70393477007747
1,918.0081,232.6801,58.081596,4.72653214819729
1,913.696,237.0998,58.09958,4.71411785110831
1,908.8331,241.6079,58.111596,4.71163331530988
1,907.3505,245.4456,58.133592,4.754061345011
1,906.1986,247.7822,58.14558,4.79502161033452
1,905.2808,247.269,58.1616,4.86101279966533
1,905.1865,245.7475,58.181583,4.84604714438319
1,904.3246,241.7291,58.193584,4.7506676055491
1,904.0654,239.7868,58.211583,4.84697264619172
1,902.4171,237.0793,58.229584,4.80252527631819
1,901.9261,235.2984,58.243604,4.84523549675941
1,901.9564,234.0785,58.261587,4.84472559764981
1,902.094,232.8526,58.279587,4.83770295977592
1,902.2538,232.2746,58.291588,4.84204012900591
1,902.7455,232.1185,58.307602,4.83791646547616
1,904.8495,232.9325,58.327613,4.84183011576533
1,906.9156,234.1132,58.339606,4.81908721849322
1,907.2259,233.4157,58.357592,4.83123259618878
1,907.4175,232.6777,58.375593,4.83806990087032
1,907.3064,232.8313,58.389593,4.79010143317282
1,907.0685,233.1248,58.405593,4.7865288797766
1,907.1718,233.9017,58.427615,4.72163641825318
1,907.0573,234.8336,58.437595,4.71758004277945
1,906.3464,234.1615,58.453611,4.59039863198996
1,906.6721,234.7984,58.469597,4.74389479495585
1,907.5399,233.4985,58.485598,4.70842211507261
1,908.5256,233.697,58.501604,4.78134909644723
1,909.4325,234.053,58.519603,4.4084507972002
1,910.318,234.108,58.535633,4.65725804679096
1,911.4689,233.3486,58.55161,4.63395053520799
1,911.348,234.2364,58.567622,4.64184791781008
1,915.0499,235.1888,58.583603,4.58720070309937
1,915.5333,238.4961,58.599604,4.60369815118611
1,915.177,240.4177,58.615604,4.57633729092777
1,913.3288,242.9091,58.631606,4.60193865001202
1,916.0387,243.0752,58.647618,4.6213495079428
1,917.1646,243.0362,58.663626,4.6128835529089
1,917.2036,243.3306,58.681621,4.5860349200666
1,916.1942,244.6979,58.697621,4.57480456680059
1,914.8474,246.1966,58.713609,4.62957238778472
1,913.4949,246.4281,58.73161,4.65801917016506
1,913.2997,245.5084,58.745612,4.67484956607223
1,912.8834,244.5601,58.761633,4.6618627384305
1,914.3174,242.7274,58.779612,4.59305383265018
1,912.5867,243.3163,58.793632,4.59304568357766
1,913.6208,241.9888,58.809615,4.61319484747946
1,913.5171,240.7146,58.829615,4.64307796210051
1,916.006,239.1411,58.841615,4.8904987052083
1,917.7496,234.6765,58.859628,4.71734954044223
1,918.0977,236.5643,58.875618,4.90212021395564
1,916.5825,234.7706,58.891633,4.6659791842103
1,914.0408,235.996,58.907629,4.80658374726772
1,912.3032,233.9574,58.92765,4.68460889533162
1,910.5248,232.3153,58.939621,4.71020909026265
1,908.5638,229.6787,58.957623,4.74654138088226
1,905.0865,225.7941,58.975623,4.75886883214116
1,902.1238,223.564,58.987624,4.72115632146597
1,900.938,221.8773,59.007626,4.76719671860337
1,899.2965,220.3998,59.023625,4.7168368473649
1,897.9122,220.2294,59.037625,4.66676382347941
1,896.5891,220.9765,59.053639,4.62961103767157
1,896.29,223.8478,59.071642,4.85176546499133
1,895.8017,228.5116,59.087664,4.51265391893685
1,895.0872,234.6281,59.105631,4.49368311092258
1,895.3811,239.3264,59.11963,4.55602118745446
1,894.0427,245.4942,59.135648,4.56462358124554
