Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
-1,NaN,NaN,658.005776,-1
-1,NaN,NaN,658.021773,-1
-1,NaN,NaN,658.037766,-1
-1,NaN,NaN,658.053766,-1
1,915.6749,187.5385,658.073778,3.04633448831737
1,917.3919,186.9142,658.087767,3.09738051146269
1,918.4401,185.5184,658.103769,3.22068517562002
1,919.2069,183.7839,658.121807,3.17989417817444
1,919.8004,180.7152,658.135769,3.21565696503967
1,919.4319,179.2622,658.15379,3.18976142443717
1,920.3579,176.1741,658.169794,3.18819470703602
1,919.3379,174.8068,658.185791,3.19310976192355
1,917.8087,172.8799,658.201794,3.18147684447467
1,916.0732,171.7611,658.217792,3.20286641363055
1,915.1292,171.6147,658.233793,3.20714665576816
1,915.0967,170.9869,658.249794,3.20622837170959
1,914.5474,170.8502,658.265779,3.20288119837642
1,914.0983,170.2737,658.281817,3.18717409390956
1,913.8271,169.745,658.2998,3.17927089054137
1,913.3321,169.8095,658.315781,3.16286564338952
1,913.071,170.02,658.331781,3.16130160354078
1,912.6187,170.8491,658.347796,3.2095336355269
1,912.0159,172.4957,658.363782,3.21795756462961
1,911.5071,173.7293,658.381783,3.24832217302173
1,911.0181,174.2726,658.395801,3.28557367902249
1,910.5408,174.2987,658.413785,3.26858332846314
1,910.3535,173.1721,658.429786,3.28984495718032
1,910.3038,171.7602,658.445804,3.30766779370606
1,910.4336,169.8293,658.461799,3.31844633910805
1,910.7844,167.8049,658.481807,3.34506691433489
1,911.2402,166.3646,658.491807,3.34766285959631
1,911.7474,164.8398,658.511795,3.35520110093057
1,912.3021,164.2166,658.529809,3.35661473218352
1,912.8304,163.8963,658.541809,3.34177340846509
1,915.2204,158.9454,658.559794,3.37282137479633
1,915.7807,157.5145,658.577812,3.38489247951657
1,919.4944,148.5986,658.591813,3.36123374290764
1,919.4959,146.7943,658.607797,3.3703267108649
1,922.843,138.2549,658.627825,3.34849627688527
1,922.1603,137.7843,658.639815,3.32942453678697
1,925.4644,130.545,658.655809,3.31878615543246
1,925.323,129.7225,658.675828,3.30404785927385
1,927.6345,126.8435,658.687815,3.27788561116904
1,926.8212,130.2485,658.705802,3.26275592669845
1,929.0381,127.5051,658.7238,3.2608665060252
1,929.2222,129.6127,658.737818,3.26567108277231
1,931.313,126.8395,658.753802,3.2627290347591
1,930.9673,128.845,658.771828,3.27396509237587
1,933.7037,124.1477,658.785804,3.25546856038272
1,933.1467,125.5752,658.801816,3.25994717422873
1,935.3442,121.1482,658.817809,3.27698583714664
1,933.957,123.0896,658.833823,3.26259969733655
1,935.8828,119.3858,658.849806,3.26831545680761
1,934.8483,121.0783,658.865808,3.26097861398011
1,934.1086,121.3985,658.882824,3.291534492746
1,932.626,123.5608,658.898809,3.29644384328276
1,930.1285,126.1262,658.914811,3.33007972221822
1,928.1192,128.4394,658.932812,3.33595962729305
1,927.7021,128.7121,658.948813,3.28221160452813
1,925.2148,133.5308,658.964814,3.28943727072328
1,927.2787,130.5604,658.982824,3.28941119369119
1,925.5253,134.4145,658.996832,3.27593670226634
1,929.5118,129.6435,659.014837,3.28656856436282
1,929.4691,131.3018,659.030819,3.30289674457163
1,932.5584,127.3862,659.044834,3.30498977564275
1,932.813,128.7334,659.060836,3.31977580208331
1,934.1703,126.7483,659.080831,3.33800655789673
1,932.5925,130.2147,659.092819,3.33167833741754
1,933.3765,129.0663,659.110838,3.36604111362249
1,932.4387,132.6835,659.130851,3.38135496713221
1,930.4161,134.1182,659.140821,3.51584469899535
1,929.29,137.6604,659.158822,3.4098211908713
