Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,881.9553,373.0278,886.01485,5.21666696295142
1,881.6711,363.4528,886.034805,5.23462984710932
1,883.8788,343.8052,886.046823,5.18037937581539
1,881.2443,319.8477,886.062825,5.16094593331218
1,888.9862,302.8873,886.084809,5.22388191893697
1,891.9147,279.7181,886.098825,5.16848498955369
1,891.4122,266.6904,886.114812,5.29011804610491
-1,NaN,NaN,886.134814,0
1,904.6718,247.2949,886.144828,5.17257582396269
1,907.8539,233.8146,886.162828,5.19259134307504
1,922.79,228.9253,886.182812,4.95642842724919
1,924.2957,224.6401,886.194813,5.00024482607841
1,932.6167,229.3659,886.210813,5.07051218301058
1,921.8515,219.2832,886.230825,4.87575773149729
1,930.3396,215.2044,886.242833,4.99908719211817
1,926.9534,202.7422,886.260815,5.09022362530231
1,922.4948,202.0398,886.274818,5.1463688723743
1,920.7063,199.5502,886.292818,5.09952520951629
1,926.2188,212.0231,886.306818,5.07739651948214
1,913.5297,198.3946,886.328833,5.10734133422375
1,914.8384,196.8663,886.340846,5.11590577661991
1,922.0087,206.2282,886.356821,5.23827830329537
1,933.3619,215.5573,886.372828,5.22322580218315
1,930.0659,218.4912,886.388823,5.2395099774003
1,932.1573,216.7794,886.402823,5.26940869167447
1,932.8556,216.8408,886.420825,5.26929553598166
1,943.8782,227.4618,886.436825,5.31572848558426
1,935.4318,214.9457,886.454825,5.36190206184983
-1,NaN,NaN,886.468829,0
1,925.1964,208.2005,886.486853,5.4427832365036
1,925.9833,208.5491,886.500829,5.31736202538013
1,914.4694,198.6324,886.51683,5.39381522685289
1,916.3793,196.6931,886.536831,5.20084099844098
1,925.6269,209.0192,886.550832,5.1775136962533
1,936.4836,221.8702,886.566851,5.18824486061931
1,933.4369,223.9014,886.588834,5.16031496226788
1,927.7388,223.359,886.600834,5.27331605553627
1,930.7204,233.0479,886.614835,5.28554525226355
1,933.2894,241.7503,886.636836,5.23900520056486
1,926.3046,243.235,886.648938,5.26783941313624
-1,NaN,NaN,886.662836,0
1,901.4336,238.9941,886.682843,5.34685421735048
-1,NaN,NaN,886.694838,0
1,891.259,226.4418,886.710842,5.50135318189859
-1,NaN,NaN,886.730841,0
1,895.2042,221.2737,886.746852,5.61294890940189
1,898.5471,219.8477,886.762863,5.53774973377585
1,896.711,204.6541,886.784845,5.55864069610834
1,902.2171,204.2614,886.792856,5.42565807700157
1,897.8795,194.2347,886.822853,5.39885833859444
1,903.1739,202.8923,886.830846,5.43799716979265
1,900.2395,202.0011,886.842865,5.4452633485198
1,897.0988,202.7353,886.858864,5.48034673556685
1,889.7771,197.6014,886.878856,5.5296840146184
1,885.3939,199.7595,886.892848,5.54487435147166
1,885.0239,209.981,886.90685,5.56021369993687
1,891.002,224.6979,886.926868,5.50742587074637
1,886.3567,221.6366,886.94085,5.46413660049438
1,889.7015,225.5283,886.954869,5.4420973174274
1,889.2068,225.0348,886.97487,5.42006175965071
1,893.0703,228.9561,886.988854,5.44364890083671
1,888.9042,234.1082,887.004853,5.500802770257
1,885.3226,247.4217,887.024876,5.55723952129483
1,867.3347,253.9466,887.038855,5.60279283672571
1,848.0581,270.2484,887.052857,5.68037433549762
1,829.5153,293.3344,887.070858,5.73092745617032
1,808.5972,319.984,887.086865,5.75113389641047
1,780.9957,341.7327,887.100875,5.70180220529437
1,750.4966,365.4342,887.116872,5.66104054450989
1,728.1974,395.3647,887.13486,5.64145809039474
1,718.9186,419.9264,887.150861,5.61175402253866
1,712.5914,431.5878,887.164882,5.58717921376228
1,710.8852,437.4955,887.182864,5.59606868773699
1,711.3907,440.3637,887.196889,5.56118786334991
1,710.7783,443.0702,887.214865,5.58547209948301
1,709.7881,445.6233,887.23087,5.55446092039347
1,708.8309,447.0373,887.246884,5.54493675008416
1,706.3009,449.3129,887.262867,5.51680661737919
1,703.4736,451.6901,887.280873,5.48283383250237
1,700.3851,454.2612,887.29688,5.4136710241437
1,697.4416,457.1234,887.31087,5.36765763536096
1,694.5481,459.2293,887.33089,5.43910311535001
1,692.1479,461.8398,887.344872,5.37698157131672
1,690.0446,463.6344,887.360872,5.35218836739659
1,689.0792,465.202,887.378889,5.33163687214255
1,688.942,466.2397,887.392876,5.30374748632312
1,689.3173,466.5916,887.408893,5.311937071383
1,689.9406,466.2954,887.428893,5.35627547651529
1,690.5074,465.4895,887.442877,5.36297168582678
1,691.4304,465.0542,887.458896,5.34871593117714
1,692.0254,465.1269,887.476878,5.32037671655416
1,692.2922,464.6101,887.490879,5.30807906761765
1,692.4074,464.0199,887.50488,5.2739018574357
1,692.3809,462.9963,887.524899,5.26683731004596
1,697.0607,462.3445,887.538884,5.32226590439677
1,703.7186,461.1492,887.556882,5.2686813287437
1,718.6245,460.1824,887.574911,5.26733929291368
1,735.5704,459.9213,887.588885,5.22467261180282
1,755.8611,458.1011,887.602886,5.23611577227712
1,776.0059,457.8853,887.622887,5.22980885580182
1,795.959,457.3801,887.634906,5.21875359117985
1,815.439,457.6682,887.652891,5.14931185171008
1,830.4564,457.8652,887.666889,5.1142661832273
1,839.0889,458.6333,887.684902,5.10877650231123
1,842.4901,460.9616,887.700891,5.09700924158096
1,842.5339,462.4759,887.716892,5.17596630379558
1,842.4266,463.4366,887.732892,5.20297233015299
1,842.2387,464.4214,887.748894,5.22283045575023
1,841.7183,464.6683,887.764911,5.2035697735846
1,841.0626,464.56,887.782893,5.18658803775907
