Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
1,908.4146,230.4462,743.013768,5.71485888212919
1,902.4371,233.358,743.03375,5.68814110010862
1,901.4581,228.137,743.04775,5.71496598422527
1,907.1853,215.0994,743.061769,5.73072116822004
1,912.7919,194.3559,743.081753,5.70707349106669
1,918.7877,188.1754,743.09577,5.73607487604022
1,917.8076,190.4664,743.111754,5.75852626934648
1,924.037,192.6326,743.129754,5.77311404049397
1,926.6321,191.3125,743.143773,5.74878929182887
-1,NaN,NaN,743.157755,0
1,925.0895,207.8824,743.179757,5.74652198702097
-1,NaN,NaN,743.193757,0
1,912.5128,252.8447,743.209758,5.74120739474893
-1,NaN,NaN,743.229761,0
1,891.9158,319.0188,743.24176,5.70034049451351
1,880.3668,357.71,743.257762,5.63874328508973
1,868.9865,400.2047,743.277764,5.62841817736626
-1,NaN,NaN,743.289786,0
1,851.3592,467.0585,743.305775,5.60916168615222
-1,NaN,NaN,743.325768,0
1,849.3682,469.5904,743.339784,5.66782290115952
-1,NaN,NaN,743.353768,0
1,846.9988,472.2143,743.373787,5.78588712960482
-1,NaN,NaN,743.387769,0
1,839.97,474.2394,743.403768,5.83201693370938
-1,NaN,NaN,743.421801,0
1,836.1491,477.2533,743.437772,5.94083406031132
1,834.9589,477.9884,743.451771,5.82120567560196
1,836.9503,479.5246,743.467802,5.79715380445123
1,839.975,481.3067,743.485781,5.74323954060674
1,843.289,482.4291,743.499791,5.82853890955448
1,847.4307,483.9347,743.515794,5.82469021901488
1,851.678,485.482,743.533776,5.79874077811837
1,856.153,486.8476,743.549775,5.76005550101399
1,860.3594,488.2649,743.565777,5.66207990050316
1,862.2546,488.9351,743.581778,5.67523343488574
1,863.491,489.7794,743.597804,5.70933474227786
1,864.2443,490.4771,743.613779,5.74962608516216
1,864.7988,490.7411,743.631781,5.81084005534649
1,864.6342,491.2808,743.645781,5.78824151307344
1,864.511,491.7592,743.661804,5.76828187331557
1,864.1057,492.1252,743.681783,5.76486904174089
1,863.4972,492.5581,743.695802,5.71946799755096
1,862.8132,492.691,743.711784,5.74641162529588
1,861.8226,492.812,743.729801,5.74687123298645
-1,NaN,NaN,743.743786,0
1,857.2275,492.7951,743.759786,5.79872820526361
1,854.059,492.577,743.779803,5.76126389205456
1,853.431,491.7559,743.793788,5.80899743363261
-1,NaN,NaN,743.807789,0
1,851.0694,489.5933,743.82781,5.78960776329041
-1,NaN,NaN,743.841797,0
1,848.4725,487.1498,743.85781,5.79205667600036
-1,NaN,NaN,743.875814,0
-1,NaN,NaN,743.889793,0
-1,NaN,NaN,743.903812,0
1,864.2805,422.5655,743.925863,5.79818803817034
1,877.3074,368.5861,743.939815,5.73387136682868
1,889.5671,317.7244,743.955805,5.77151635661721
-1,NaN,NaN,743.97183,0
-1,NaN,NaN,743.987829,0
-1,NaN,NaN,744.001799,0
1,914.5977,232.5659,744.025818,5.76164247468114
