Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
-1,NaN,NaN,23.004691,0
1,941.1724,280.1879,23.024691,4.30379761382937
-1,NaN,NaN,23.038694,0
1,912.5496,302.525,23.054697,4.34656161814928
-1,NaN,NaN,23.070732,0
1,894.0406,340.7917,23.086703,4.46478044614196
-1,NaN,NaN,23.100696,0
1,861.2824,401.3794,23.122701,4.68078767880797
-1,NaN,NaN,23.134702,0
1,886.4865,423.0215,23.150701,4.85362624749541
-1,NaN,NaN,23.168712,0
1,867.2707,463.6087,23.184706,4.91642532870173
-1,NaN,NaN,23.198684,0
1,866.1891,466.2558,23.218688,4.98430244624615
-1,NaN,NaN,23.232685,0
1,871.2607,457.9383,23.248702,5.03501854836941
-1,NaN,NaN,23.264686,0
1,857.3975,459.7067,23.282689,5.01490104943514
-1,NaN,NaN,23.296693,0
1,823.3646,471.7909,23.314707,4.9196039326489
-1,NaN,NaN,23.328691,0
1,786.697,488.4962,23.34469,4.79510752484202
-1,NaN,NaN,23.36069,0
1,747.4836,507.1894,23.376713,4.74369945004582
-1,NaN,NaN,23.392693,0
1,735.5864,515.3806,23.410694,4.62919753044844
-1,NaN,NaN,23.42672,0
1,762.9066,487.9834,23.444709,4.52381046488881
-1,NaN,NaN,23.458715,0
1,814.3616,422.2443,23.476716,4.45111747831106
-1,NaN,NaN,23.492713,0
1,868.916,345.1456,23.508698,4.35923784971237
-1,NaN,NaN,23.5267,0
1,919.018,274.7023,23.54071,4.35205781832337
-1,NaN,NaN,23.556721,0
1,937.8172,243.3329,23.574719,4.39725071191788
-1,NaN,NaN,23.588705,0
1,945.0305,231.518,23.604704,4.40099788829684
-1,NaN,NaN,23.626725,0
1,935.1064,245.2898,23.638706,4.38174139708281
-1,NaN,NaN,23.652706,0
1,929.0259,250.3465,23.674711,4.37925709411502
-1,NaN,NaN,23.684733,0
1,927.6949,252.2341,23.702728,4.30186185985804
-1,NaN,NaN,23.722709,0
1,901.6251,271.1203,23.738711,4.24032378941774
-1,NaN,NaN,23.752711,0
1,876.1534,296.1161,23.772761,4.2041246779263
-1,NaN,NaN,23.782732,0
1,880.0464,295.1801,23.800719,4.24365093931556
-1,NaN,NaN,23.814715,0
1,886.0842,291.9619,23.832733,4.25970228388906
-1,NaN,NaN,23.846726,0
1,887.8027,293.5983,23.868748,4.25242399796844
-1,NaN,NaN,23.880743,0
1,888.4559,296.7312,23.89872,4.24383813515306
-1,NaN,NaN,23.91272,0
1,888.66,298.0839,23.92872,4.18996857479215
-1,NaN,NaN,23.944721,0
1,885.1874,299.9793,23.962723,4.14959387853742
-1,NaN,NaN,23.976741,0
1,884.2173,292.6717,23.994723,4.16631577536464
-1,NaN,NaN,24.012729,0
1,863.6146,288.2101,24.026724,4.18707402423024
-1,NaN,NaN,24.042727,0
1,866.0834,275.5682,24.058727,4.13304939866066
-1,NaN,NaN,24.078765,0
1,825.2382,286.37,24.092731,4.22834092751145
-1,NaN,NaN,24.106729,0
1,775.303,318.1888,24.126754,4.21718461439013
-1,NaN,NaN,24.13875,0
1,777.2722,321.347,24.158749,4.22447640448809
-1,NaN,NaN,24.172733,0
1,778.3804,322.7058,24.190751,4.29541198536754
-1,NaN,NaN,24.204734,0
1,809.8713,298.1527,24.232737,4.29381057620049
-1,NaN,NaN,24.238755,0
1,870.3029,257.4485,24.254737,4.29178681224585
-1,NaN,NaN,24.274737,0
1,919.8616,221.5612,24.286751,4.30253706872463
-1,NaN,NaN,24.30274,0
1,964.5419,188.7242,24.32274,4.29367180913687
-1,NaN,NaN,24.336741,0
1,960.0453,197.7295,24.352742,4.29444247856736
-1,NaN,NaN,24.370762,0
1,956.8212,198.9529,24.384744,4.30825259536505
-1,NaN,NaN,24.400745,0
1,956.2054,196.5728,24.422748,4.31896280497313
-1,NaN,NaN,24.432745,0
1,956.4385,193.0377,24.450747,4.3654483743012
-1,NaN,NaN,24.466758,0
1,957.4348,189.4682,24.482748,4.37854742631316
-1,NaN,NaN,24.496753,0
1,959.2696,188.7135,24.514751,4.41856775432825
-1,NaN,NaN,24.530761,0
1,961.2927,194.6778,24.548754,4.42214217036963
-1,NaN,NaN,24.564753,0
1,964.9703,203.8065,24.578772,4.39812149852514
-1,NaN,NaN,24.594767,0
1,969.1986,213.6677,24.610774,4.39796457067132
-1,NaN,NaN,24.626756,0
1,973.1338,220.825,24.642757,4.37661493197083
-1,NaN,NaN,24.658776,0
1,975.4017,221.3044,24.676773,4.39174007624388
-1,NaN,NaN,24.690777,0
1,976.1138,217.7022,24.708759,4.38756449148059
-1,NaN,NaN,24.724788,0
1,975.366,217.2969,24.740779,4.33400319889188
-1,NaN,NaN,24.756782,0
1,973.8825,218.5378,24.776763,4.3579014018178
-1,NaN,NaN,24.790765,0
1,972.2336,220.3642,24.808768,4.32218424975872
-1,NaN,NaN,24.826771,0
1,970.1522,223.7614,24.838767,4.25386056303978
-1,NaN,NaN,24.85477,0
1,968.8237,228.4858,24.874768,4.27137268707156
-1,NaN,NaN,24.886783,0
1,967.9438,235.2238,24.904771,4.25952486693859
-1,NaN,NaN,24.920798,0
1,967.4811,240.8369,24.934805,4.30571474134922
-1,NaN,NaN,24.952773,0
1,967.5785,243.8048,24.972774,4.40517300739884
-1,NaN,NaN,24.984799,0
1,967.1528,244.0119,25.000795,4.43891063332558
-1,NaN,NaN,25.016806,0
1,965.9802,242.0618,25.032796,4.44868393242359
-1,NaN,NaN,25.050783,0
1,964.2797,239.2138,25.068803,4.43594064563513
-1,NaN,NaN,25.082779,0
1,962.7656,235.2095,25.098798,4.45478688925505
-1,NaN,NaN,25.114799,0
1,962.4879,231.5459,25.130783,4.50538331642747
-1,NaN,NaN,25.146782,0
1,963.4341,229.369,25.166833,4.50186431407928
-1,NaN,NaN,25.178783,0
1,965.3592,227.4401,25.194784,4.49842121452093
-1,NaN,NaN,25.210797,0
-1,NaN,NaN,25.226787,0
-1,NaN,NaN,25.244798,0
-1,NaN,NaN,25.258789,0
-1,NaN,NaN,25.278802,0
-1,NaN,NaN,25.290788,0
-1,NaN,NaN,25.308791,0
-1,NaN,NaN,25.326791,0
-1,NaN,NaN,25.340811,0
-1,NaN,NaN,25.354811,0
-1,NaN,NaN,25.374793,0
-1,NaN,NaN,25.386805,0
-1,NaN,NaN,25.406797,0
-1,NaN,NaN,25.422797,0
-1,NaN,NaN,25.438815,0
-1,NaN,NaN,25.452798,0
-1,NaN,NaN,25.474817,0
-1,NaN,NaN,25.484813,0
-1,NaN,NaN,25.502836,0
-1,NaN,NaN,25.521826,0
-1,NaN,NaN,25.535813,0
-1,NaN,NaN,25.549804,0
-1,NaN,NaN,25.571844,0
-1,NaN,NaN,25.581806,0
-1,NaN,NaN,25.599826,0
-1,NaN,NaN,25.617823,0
-1,NaN,NaN,25.631817,0
-1,NaN,NaN,25.645808,0
1,499.5662,531.3661,25.677821,4.52918605878949
1,543.1415,507.7166,25.683823,4.40579606220126
1,612.3953,471.2123,25.701821,4.36158943921328
1,671.0498,444.8071,25.725813,4.43558767437935
1,713.3481,435.5861,25.731831,4.49021952226758
1,751.1163,426.4812,25.74583,4.42695431411266
1,787.6381,418.0454,25.763817,4.44653443992138
1,820.081,411.2438,25.779815,4.39148349687457
1,818.8677,432.5376,25.795829,4.36549866572022
1,785.0178,478.2906,25.811828,4.3814335949719
1,766.0967,502.7085,25.829848,4.36723371967673
1,760.9518,508.9778,25.843819,4.38491953536868
1,758.5863,511.9985,25.85984,4.46056760847569
1,756.5334,514.397,25.87984,4.3869111686945
1,755.5304,516.1771,25.891827,4.45161107927561
1,751.6348,517.7968,25.909821,4.42775012925267
1,748.237,517.8325,25.929831,4.45182388648391
1,744.0137,517.5745,25.941834,4.51220897957683
1,739.1445,517.1207,25.957837,4.52634319663048
1,734.7118,516.1874,25.975826,4.50322823598981
1,730.6794,515.0453,25.989838,4.50042821466923
1,728.0004,513.6767,26.005827,4.50175674632192
1,726.9293,512.2648,26.028852,4.46917722001672
1,726.1055,510.8885,26.038846,4.46528615429997
1,726.4091,509.8409,26.05484,4.41878056153655
1,727.0112,509.46,26.076833,4.40282700583339
1,727.4429,509.4956,26.086845,4.42700413987041
1,727.6478,509.7219,26.104843,4.44298982620239
1,727.6579,509.5734,26.122854,4.44176280871034
1,727.8674,509.4253,26.136834,4.43382747471333
-1,NaN,NaN,26.152835,0
1,740.2633,498.5376,26.172853,4.44923155009747
-1,NaN,NaN,26.182853,0
1,772.3981,461.6847,26.202837,4.33751987293363
1,795.3326,436.9849,26.230841,4.22624824568629
1,837.6971,389.4529,26.236872,4.16503846645355
1,874.6847,351.3324,26.250855,4.15239250287414
1,910.7036,316.5762,26.272858,4.1400589980185
1,945.1989,282.9737,26.282841,4.07767714932561
1,970.8964,256.3136,26.298852,4.05651843175292
1,993.6451,233.2772,26.316857,4.03729313984513
1,1006.637,226.5699,26.332861,4.06260602176189
1,1009.294,230.4906,26.346843,4.0583424270153
1,1011.905,228.4086,26.368908,4.0743020363152
1,1012.495,226.3483,26.380864,4.09626169130206
1,1013.745,224.6829,26.396862,4.07826062291861
1,1015.261,222.0555,26.412865,4.09477949142456
1,1015.997,219.5792,26.43085,4.05350280925632
1,1016.053,219.5514,26.444848,4.03229892253876
1,1017.242,218.1376,26.460863,4.00739582255483
1,1015.957,220.8699,26.47888,3.96406790241599
1,1016.795,220.9529,26.492851,3.99184366688132
1,1015.983,222.0347,26.508851,3.97497089579701
1,1015.834,222.048,26.526854,3.99037636816502
1,1015.86,221.969,26.542853,4.00181859731674
1,1015.521,222.8479,26.558854,3.97091219201684
1,1016.09,221.8493,26.578857,3.99313075467944
1,1016.258,220.9424,26.590917,3.98065289482474
1,1016.418,221.2838,26.606857,3.97314503788948
1,1018.752,222.9217,26.624858,3.94096644595265
-1,NaN,NaN,26.638859,0
-1,NaN,NaN,26.652858,0
-1,NaN,NaN,26.674875,0
-1,NaN,NaN,26.684879,0
-1,NaN,NaN,26.704926,0
-1,NaN,NaN,26.72087,0
-1,NaN,NaN,26.736863,0
-1,NaN,NaN,26.750865,0
-1,NaN,NaN,26.772865,0
-1,NaN,NaN,26.782893,0
-1,NaN,NaN,26.800879,0
-1,NaN,NaN,26.81487,0
-1,NaN,NaN,26.833882,0
-1,NaN,NaN,26.847887,0
-1,NaN,NaN,26.86587,0
-1,NaN,NaN,26.879882,0
-1,NaN,NaN,26.895891,0
-1,NaN,NaN,26.911889,0
-1,NaN,NaN,26.931887,0
-1,NaN,NaN,26.945874,0
-1,NaN,NaN,26.963883,0
-1,NaN,NaN,26.977877,0
-1,NaN,NaN,26.99589,0
-1,NaN,NaN,27.009879,0
-1,NaN,NaN,27.025881,0
-1,NaN,NaN,27.041878,0
-1,NaN,NaN,27.057879,0
-1,NaN,NaN,27.075882,0
-1,NaN,NaN,27.0919,0
-1,NaN,NaN,27.1079,0
-1,NaN,NaN,27.127886,0
-1,NaN,NaN,27.139888,0
-1,NaN,NaN,27.155898,0
-1,NaN,NaN,27.173889,0
-1,NaN,NaN,27.1879,0
-1,NaN,NaN,27.203888,0
-1,NaN,NaN,27.225906,0
-1,NaN,NaN,27.237889,0
-1,NaN,NaN,27.253889,0
-1,NaN,NaN,27.271909,0
-1,NaN,NaN,27.287904,0
-1,NaN,NaN,27.301929,0
-1,NaN,NaN,27.321905,0
-1,NaN,NaN,27.335894,0
-1,NaN,NaN,27.349912,0
-1,NaN,NaN,27.369916,0
-1,NaN,NaN,27.383898,0
-1,NaN,NaN,27.399897,0
-1,NaN,NaN,27.415898,0
-1,NaN,NaN,27.433907,0
-1,NaN,NaN,27.4479,0
-1,NaN,NaN,27.463901,0
-1,NaN,NaN,27.481922,0
-1,NaN,NaN,27.497901,0
-1,NaN,NaN,27.511918,0
-1,NaN,NaN,27.527904,0
-1,NaN,NaN,27.545904,0
-1,NaN,NaN,27.563906,0
-1,NaN,NaN,27.577906,0
-1,NaN,NaN,27.593907,0
-1,NaN,NaN,27.613927,0
-1,NaN,NaN,27.627908,0
-1,NaN,NaN,27.64191,0
-1,NaN,NaN,27.661928,0
-1,NaN,NaN,27.675911,0
1,672.9612,445.4963,27.691926,4.44773398339748
1,756.2493,388.4695,27.707913,4.33213030919433
1,834.3893,331.5772,27.727931,4.3802410364151
1,902.8479,285.5878,27.741926,4.38098236918449
1,965.8779,243.3349,27.757933,4.38219541683793
1,995.148,227.5605,27.775935,4.3804906308651
1,1021.256,212.426,27.79193,4.34470036998391
1,1045.572,197.365,27.807936,4.3426682241261
1,1040.483,205.7688,27.82592,4.27341647446156
1,1032.962,213.6836,27.839952,4.30519646033645
1,1025.058,218.4667,27.855936,4.28570155054331
1,1017.705,221.4155,27.875922,4.29106131196022
1,1010.295,223.4077,27.889929,4.29651513695717
1,1003.256,223.8745,27.903934,4.31757792830467
1,998.1196,222.7749,27.923936,4.2972513474524
1,995.8851,218.7959,27.937925,4.31975768879056
1,995.4827,213.9267,27.953964,4.32934332638979
1,995.1154,211.1088,27.974024,4.33054706081748
1,994.5602,209.9733,27.98693,4.38054092228413
1,994.5506,209.4106,28.002946,4.32890933007002
1,994.5201,209.5395,28.020933,4.28992789238691
1,994.263,210.807,28.034947,4.26854053512216
1,994.0772,212.9621,28.050975,4.22616908326745
1,993.878,215.0101,28.070986,4.24337387084961
1,993.7728,216.8697,28.082944,4.29908605292439
1,994.0201,217.9081,28.098968,4.38142754137516
1,997.8279,212.6472,28.116935,4.37353225424886
-1,NaN,NaN,28.134937,0
-1,NaN,NaN,28.144954,0
-1,NaN,NaN,28.168947,0
-1,NaN,NaN,28.178955,0
-1,NaN,NaN,28.196974,0
-1,NaN,NaN,28.210941,0
-1,NaN,NaN,28.228958,0
-1,NaN,NaN,28.242941,0
-1,NaN,NaN,28.260955,0
-1,NaN,NaN,28.274943,0
-1,NaN,NaN,28.294957,0
-1,NaN,NaN,28.306947,0
-1,NaN,NaN,28.326946,0
-1,NaN,NaN,28.340946,0
-1,NaN,NaN,28.358958,0
-1,NaN,NaN,28.372947,0
-1,NaN,NaN,28.392949,0
-1,NaN,NaN,28.404948,0
-1,NaN,NaN,28.426963,0
-1,NaN,NaN,28.436954,0
-1,NaN,NaN,28.454952,0
-1,NaN,NaN,28.474952,0
-1,NaN,NaN,28.484956,0
-1,NaN,NaN,28.502971,0
-1,NaN,NaN,28.524956,0
-1,NaN,NaN,28.534973,0
-1,NaN,NaN,28.552974,0
-1,NaN,NaN,28.570985,0
-1,NaN,NaN,28.582957,0
-1,NaN,NaN,28.60096,0
-1,NaN,NaN,28.61696,0
-1,NaN,NaN,28.63296,0
-1,NaN,NaN,28.648961,0
-1,NaN,NaN,28.669019,0
-1,NaN,NaN,28.680962,0
1,563.264,487.9138,28.702977,4.45928052067757
1,633.5611,445.4066,28.720978,4.40198602154851
