Display,X Pos,Y Pos,Start Time (secs),Pupil Diameter
-1,NaN,NaN,426.001865,0
-1,NaN,NaN,426.019887,0
-1,NaN,NaN,426.033885,0
-1,NaN,NaN,426.049863,0
-1,NaN,NaN,426.067865,0
-1,NaN,NaN,426.081881,0
-1,NaN,NaN,426.099884,0
-1,NaN,NaN,426.113868,0
-1,NaN,NaN,426.131886,0
-1,NaN,NaN,426.147867,0
-1,NaN,NaN,426.163887,0
1,838.7075,281.3662,426.181888,4.17696963995695
1,833.9041,293.2638,426.197901,4.13180701434612
1,829.1802,308.6596,426.215872,4.21561533585191
1,817.9836,335.3378,426.229895,4.21175872907043
1,804.9371,362.4145,426.247874,4.25085797905922
1,815.2786,369.8815,426.261873,4.26407251507044
1,843.1744,362.1502,426.279889,4.26231883466244
1,849.9552,375.4557,426.295875,4.27957344800234
1,832.6958,407.3175,426.311894,4.30691242218018
1,821.8985,423.9136,426.327893,4.30411892011762
1,820.2947,425.644,426.343897,4.32413257658482
1,819.8714,425.7108,426.359897,4.34121675789356
1,820.239,425.2152,426.377896,4.35259379446507
1,823.9779,420.8428,426.391898,4.36900928616524
1,826.9105,416.7185,426.40988,4.36158524826169
-1,NaN,NaN,426.425898,0
1,848.9894,371.1857,426.441906,4.32160450145602
-1,NaN,NaN,426.457885,0
1,878.5579,305.8104,426.475947,4.30211471393704
-1,NaN,NaN,426.489903,0
1,903.9185,251.4433,426.507886,4.26797848194838
1,913.3936,229.5029,426.525904,4.26023220643401
1,920.7668,211.6635,426.537904,4.3172799050808
1,925.1837,204.5912,426.555889,4.39075380563736
1,923.9634,208.2244,426.573905,4.39899461343884
1,924.7673,209.0467,426.587907,4.4242381118238
1,924.1199,209.3996,426.603891,4.42825723439455
1,925.3431,208.2256,426.623917,4.37433831393719
1,925.6336,206.9372,426.63591,4.38291532918811
-1,NaN,NaN,426.65392,0
1,925.7575,205.5841,426.67392,4.28950227797031
1,926.012,205.2579,426.685908,4.28585708141327
1,926.751,206.2391,426.703897,4.25679562613368
1,928.1081,206.4777,426.719898,4.32125385850668
-1,NaN,NaN,426.731915,0
-1,NaN,NaN,426.749898,0
-1,NaN,NaN,426.763917,0
-1,NaN,NaN,426.779915,0
-1,NaN,NaN,426.795923,0
-1,NaN,NaN,426.811906,0
-1,NaN,NaN,426.827918,0
-1,NaN,NaN,426.843919,0
-1,NaN,NaN,426.859906,0
-1,NaN,NaN,426.877926,0
-1,NaN,NaN,426.893922,0
-1,NaN,NaN,426.909906,0
-1,NaN,NaN,426.925924,0
-1,NaN,NaN,426.941906,0
-1,NaN,NaN,426.957909,0
-1,NaN,NaN,426.975927,0
-1,NaN,NaN,426.989928,0
-1,NaN,NaN,427.007915,0
-1,NaN,NaN,427.023924,0
-1,NaN,NaN,427.039931,0
-1,NaN,NaN,427.055931,0
-1,NaN,NaN,427.073928,0
-1,NaN,NaN,427.087933,0
-1,NaN,NaN,427.105924,0
-1,NaN,NaN,427.121946,0
-1,NaN,NaN,427.137936,0
-1,NaN,NaN,427.153919,0
-1,NaN,NaN,427.173951,0
-1,NaN,NaN,427.185937,0
-1,NaN,NaN,427.203939,0
-1,NaN,NaN,427.219992,0
-1,NaN,NaN,427.233927,0
-1,NaN,NaN,427.249943,0
-1,NaN,NaN,427.267928,0
-1,NaN,NaN,427.281943,0
-1,NaN,NaN,427.297944,0
-1,NaN,NaN,427.31593,0
-1,NaN,NaN,427.331947,0
-1,NaN,NaN,427.347928,0
-1,NaN,NaN,427.363931,0
-1,NaN,NaN,427.379948,0
-1,NaN,NaN,427.395948,0
-1,NaN,NaN,427.413935,0
-1,NaN,NaN,427.42795,0
-1,NaN,NaN,427.445951,0
-1,NaN,NaN,427.461936,0
-1,NaN,NaN,427.477935,0
-1,NaN,NaN,427.493953,0
-1,NaN,NaN,427.511937,0
-1,NaN,NaN,427.525947,0
-1,NaN,NaN,427.541939,0
-1,NaN,NaN,427.559943,0
-1,NaN,NaN,427.577957,0
-1,NaN,NaN,427.589958,0
-1,NaN,NaN,427.609943,0
-1,NaN,NaN,427.625942,0
-1,NaN,NaN,427.63996,0
-1,NaN,NaN,427.655963,0
-1,NaN,NaN,427.675963,0
-1,NaN,NaN,427.687963,0
-1,NaN,NaN,427.703963,0
-1,NaN,NaN,427.723965,0
-1,NaN,NaN,427.735966,0
-1,NaN,NaN,427.753966,0
-1,NaN,NaN,427.773968,0
-1,NaN,NaN,427.787968,0
-1,NaN,NaN,427.801969,0
-1,NaN,NaN,427.82597,0
-1,NaN,NaN,427.835971,0
-1,NaN,NaN,427.85197,0
-1,NaN,NaN,427.871959,0
-1,NaN,NaN,427.885974,0
-1,NaN,NaN,427.899969,0
-1,NaN,NaN,427.918031,0
-1,NaN,NaN,427.931975,0
-1,NaN,NaN,427.949977,0
-1,NaN,NaN,427.967959,0
-1,NaN,NaN,427.982978,0
-1,NaN,NaN,427.996985,0
-1,NaN,NaN,428.016984,0
-1,NaN,NaN,428.028974,0
-1,NaN,NaN,428.046981,0
-1,NaN,NaN,428.06298,0
-1,NaN,NaN,428.082984,0
-1,NaN,NaN,428.094967,0
-1,NaN,NaN,428.112979,0
-1,NaN,NaN,428.127005,0
-1,NaN,NaN,428.144986,0
-1,NaN,NaN,428.160985,0
-1,NaN,NaN,428.180988,0
-1,NaN,NaN,428.192988,0
-1,NaN,NaN,428.208993,0
-1,NaN,NaN,428.22598,0
-1,NaN,NaN,428.242005,0
-1,NaN,NaN,428.255994,0
-1,NaN,NaN,428.277993,0
-1,NaN,NaN,428.289995,0
-1,NaN,NaN,428.308008,0
-1,NaN,NaN,428.325997,0
-1,NaN,NaN,428.339979,0
-1,NaN,NaN,428.355997,0
-1,NaN,NaN,428.378999,0
-1,NaN,NaN,428.386998,0
-1,NaN,NaN,428.405,0
-1,NaN,NaN,428.424984,0
-1,NaN,NaN,428.437031,0
-1,NaN,NaN,428.451003,0
-1,NaN,NaN,428.477006,0
-1,NaN,NaN,428.484986,0
-1,NaN,NaN,428.502987,0
-1,NaN,NaN,428.518991,0
-1,NaN,NaN,428.535007,0
-1,NaN,NaN,428.549007,0
-1,NaN,NaN,428.571032,0
-1,NaN,NaN,428.583011,0
-1,NaN,NaN,428.599009,0
-1,NaN,NaN,428.614997,0
-1,NaN,NaN,428.632994,0
