,pID,group,trial,null_percent,duration_asi,duration_percentage_asi,duration_average_asi,duration_alt,duration_percentage_alt,duration_average_alt,duration_runway,duration_percentage_runway,duration_average_runway,between_runway_mean_duration_all,between_runway_n_trans_1,between_runway_mean_duration_1,between_runway_n_trans_2,between_runway_mean_duration_2,between_runway_n_trans_3,between_runway_mean_duration_3
0,3,1,1,0.0664328,12.124678,0.107496061,0.505194917,11.827835,0.104864284,0.59139175,77.212791,0.68456011,2.086832189,0.925359734,16,1.07605075,11,1.655001182,5,2.2427188
1,4,1,1,0.055227248,17.750651,0.173789143,0.572601645,22.190983,0.217262562,0.541243488,54.917356,0.537672687,1.076810902,1.028342068,20,1.2282143,21,1.794381476,7,2.722386714
2,7,1,1,0.052991993,5.165239,0.048516649,0.303837588,10.444387,0.098103235,0.580243722,77.569792,0.728606432,1.686299826,1.108795444,36,1.223209694,3,1.305418667,5,1.930098
4,10,1,1,0.049508059,9.782467,0.081519316,0.543470389,19.168788,0.159737465,0.709955111,71.33441,0.594444356,2.038126,1.127553527,14,1.427000857,7,1.328071286,9,2.915933556
5,23,1,1,0.091471875,14.094604,0.162261251,0.33558581,7.922546,0.091206693,0.344458522,56.318791,0.648358582,0.804554157,0.977733372,51,1.043780882,15,1.572622133,3,2.436111667
6,27,1,1,0.138520971,9.864532,0.105012773,0.469739619,4.816467,0.051273649,0.370497462,70.926983,0.755052458,2.287967194,0.924381439,13,1.108198769,14,1.527580071,3,2.631798667
7,29,1,1,0.031737984,18.51179,0.157390111,0.514216389,9.279669,0.078897186,0.3093223,70.681675,0.600946569,1.197994492,0.817322678,30,0.925481233,14,1.560072929,10,1.8517942
8,32,1,1,0.03441882,2.345144,0.022561485,0.390857333,13.734464,0.132132572,0.416195879,79.148611,0.761450138,1.930453927,0.831747771,25,0.95490972,10,1.3502742,2,1.7680925
9,1,2,1,0.102396046,22.646626,0.23607492,0.595963842,8.177561,0.08524524,0.481033,59.042436,0.615475275,1.283531217,1.289607593,31,1.480259484,9,1.826288,2,1.8820675
10,2,2,1,0.035387631,10.999113,0.102117068,0.354810097,16.405563,0.15231119,0.52921171,69.432406,0.64461868,1.310045396,0.921699359,35,1.036713657,9,1.298169778,3,1.896768
11,5,2,1,0.107272091,7.754407,0.089732008,0.408126684,10.669512,0.123464855,0.561553263,47.150711,0.545615928,1.571690367,1.580911384,22,1.837412,1,1.375047,2,3.033655
13,11,2,1,0.077960388,14.903482,0.130847542,0.784393789,6.517269,0.057219422,0.592479,83.362406,0.731893788,3.33449624,1.183789205,13,1.406610538,3,1.817091333,4,3.333422
14,14,2,1,0.065535276,15.386315,0.180505631,0.54951125,15.172982,0.1780029,0.541892214,37.057603,0.434743863,0.903843976,1.256664584,25,1.3311094,8,2.0031055,3,4.373866667
15,16,2,1,0.042620172,16.37737,0.162185049,0.629898846,13.819721,0.136856658,0.575821708,62.115189,0.615126541,1.634610237,1.091731232,16,1.461834125,14,1.717862286,5,2.281025
16,19,2,1,0.067602704,25.855344,0.23104229,0.562072696,24.163947,0.215928036,0.525303196,54.770747,0.48942914,1.141057229,1.016269868,20,1.2367713,12,1.926666333,4,2.68364375
17,20,2,1,0.037755102,8.339572,0.07241325,0.463309556,16.696682,0.144978784,0.556556067,63.984026,0.555579023,1.207245774,1.064412311,31,1.188516903,10,1.544281,7,2.866873429
18,21,2,1,0.077433628,17.53495,0.172495799,0.565643548,6.205357,0.061043688,0.413690467,67.793217,0.666899255,1.614124214,0.978465841,22,1.059944227,9,2.375786444,5,2.0722972
19,22,2,1,0.044617785,9.272603,0.078696945,0.713277154,5.658338,0.048022536,0.70729225,74.208498,0.629810432,1.4270865,1.176496985,38,1.293410789,10,1.5316805,2,2.501628
20,25,2,1,0.041040325,36.643732,0.364446835,1.017881444,8.178391,0.08133966,0.454355056,44.013475,0.437743941,1.047939881,1.220408617,24,1.333524375,5,2.6623316,7,2.428128714
21,3,1,2,0.083155423,9.155599,0.08026629,0.610373267,14.344989,0.125761192,0.896561812,84.868362,0.744033083,2.571768545,1.328317354,23,1.508119391,7,1.945244571,2,1.51658
22,4,1,2,0.025856824,12.132581,0.105859445,0.466637731,19.168215,0.167246903,0.456386071,70.80675,0.617804507,1.200114407,0.870422107,27,1.063827222,21,1.474693857,6,2.012277
23,7,1,2,0.05146223,13.221739,0.111440967,0.400658758,12.24076,0.103172671,0.556398182,83.282333,0.701954842,1.66564666,0.891897946,33,0.928467364,6,1.905599667,7,2.226246571
25,10,1,2,0.042527461,14.627845,0.115301404,0.769886579,11.697301,0.092201909,0.508578304,82.335057,0.648991542,2.058376425,1.237284547,24,1.452200833,6,1.8520965,5,2.8887572
26,23,1,2,0.115841686,11.508564,0.123814582,0.338487176,4.513237,0.048555541,0.322374071,67.507466,0.726277289,1.227408473,0.926802598,41,1.019953317,11,1.140332091,1,1.863067
27,27,1,2,0.057072829,10.384626,0.111612588,0.610860353,4.105284,0.04412305,0.293234571,70.636634,0.759193205,2.207394813,1.132950575,20,1.34406755,9,1.511415333,1,3.002179
28,29,1,2,0.03752932,14.612851,0.121310996,0.417510029,10.118286,0.083998623,0.374751333,78.020841,0.647702899,1.258400661,0.895196589,36,1.049839833,18,1.401897944,6,1.8544255
29,32,1,2,0.034452628,8.201317,0.081103605,0.546754467,3.685191,0.036443205,0.526455857,78.788773,0.779149683,2.129426297,1.054785773,30,1.149287,5,1.2094618,1,1.41007
30,1,2,2,0.088549299,21.376694,0.20654566,0.485833955,9.826998,0.094950313,0.427260783,66.240019,0.640023589,1.298823902,1.080238125,35,1.168034057,6,1.790084,4,3.15366325
31,2,2,2,0.021102863,14.816628,0.130687128,0.344572744,12.775558,0.112684275,0.387138121,76.057201,0.670847451,1.408466685,0.787618765,26,0.906882962,17,1.409604824,6,1.738254667
32,5,2,2,0.094970254,10.251184,0.102331713,0.569510222,9.542545,0.095257774,0.596409063,67.85664,0.677374066,1.995783529,1.494682237,27,1.569672148,4,2.50313425,2,2.905646
33,6,2,2,0.064996406,7.919503,0.066021514,0.344326217,6.746376,0.056241656,0.481884,96.163008,0.801669929,2.34543922,0.978887837,33,1.035781121,5,1.2470638,2,2.7856155
35,11,2,2,0.06120944,16.834841,0.141372255,0.765220045,6.440287,0.054082952,0.6440287,90.352183,0.758741462,3.346377148,1.353553506,16,1.499835312,4,2.20234875,6,3.395164333
36,14,2,2,0.037713549,18.123896,0.169787027,0.624961931,15.118905,0.141635879,0.539960893,56.346018,0.527856863,1.310372512,1.07256143,28,1.197589357,4,1.73283325,3,2.755119667
38,16,2,2,0.046615813,14.150683,0.138317109,0.471689433,10.5494,0.103116048,0.421976,69.304657,0.67742453,1.690357488,0.942172916,19,1.251233368,12,1.419404583,3,2.231769
