,pre_CPL,CPL
XBX,13.125,20.666666666666668
BXB,8.4375,17.11111111111111
XEX,11.25,6.777777777777778
EXE,7.625,4.555555555555555
BXE,6.4375,5.555555555555555
EXB,5.5,6.777777777777778
XEB,4.875,3.5555555555555554
EBX,4.4375,3.6666666666666665
BEX,3.0625,4.444444444444445
XBE,2.5,4.777777777777778
XZX,2.4375,1.7777777777777777
EBE,1.375,2.4444444444444446
DXE,2.0,1.0
BXZ,1.6875,1.0
BXD,1.625,1.0
DXB,1.3125,1.3333333333333333
EDX,1.0625,1.7777777777777777
XED,1.3125,1.2222222222222223
ZXE,1.1875,1.0
