"  _real,_time ","   _totl,_time ","   missn,_time ","   timer,_time ","   _zulu,_time ","   local,_time ","   hobbs,_time ","   __USE,puffs ","   __TOT,puffs ","   __VIS,_tris ","   _Vind,_kias ","   _Vind,_keas ","   Vtrue,_ktas ","   Vtrue,_ktgs ","   _Vind,__mph ","   Vtrue,mphas ","   Vtrue,mphgs ","   _elev,stick ","   ailrn,stick ","   ruddr,stick ","   _trim,_elev ","   _trim,ailrn ","   _trim,ruddr ","   _flap,handl ","   _flap,postn ","   _slat,ratio ","   sbrak,handl ","   sbrak,postn ","   pitch,__deg ","   _roll,__deg ","   hding,_true ","   hding,__mag ","   __lat,__deg ","   __lon,__deg ","   __alt,ftmsl ","   __alt,ftagl ","   ___on,runwy ","   __alt,__ind ","   __lat,orign ","   __lon,orign ","   ____X,____m ","   ____Y,____m ","   ____Z,____m ","   ___vX,__m/s ","   ___vY,__m/s ","   ___vZ,__m/s ","   _dist,___ft ","   _dist,___nm ","   thro1,_part ","   rpm_1,_prop ","   NAV_1,__OBS ","   NAV_1,s-crs ","   NAV_1,_flag ","   NAV_2,__OBS ","   NAV_2,s-crs ","   NAV_2,_flag ","   NAV_1,n-typ ","   NAV_1,to-fr ","   NAV_1,m-crs ","   NAV_1,r-brg ","   NAV_1,dme-d ","   NAV_1,h-def ","   NAV_1,v-def ","   ___ap,__src ","   _fdir,_mode ","   _fdir,_ptch ","   _fdir,_roll ","   __HUD,power ","   __HUD,brite ", 
150.46246,3.09585,3.09585,0.0,2.27505,12.27505,0.98952,0.0,0.0,285903.0,80.0997,80.87097,83.77442,83.77369,92.17709,96.40588,96.40588,0.00392,0.00392,0.00392,0.06566,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,2.25026,3.81337,175.99387,164.4812,-37.49693,144.80556,2391.49146,1198.12268,1.0,2362.95923,-37.5,145.0,-17174.5,705.79797,-324.4032,3.11807,0.19073,42.98392,439.9549,0.07241,0.50196,1848.76855,160.0,160.08234,1.0,0.0,160.08234,1.0,10.0,1.0,151.68062,89.98434,9.70245,-2.49998,-2.49998,0.0,2.0,2.27038,3.80113,1.0,0.5, 
150.5531,3.18649,3.18649,0.0,2.27507,12.27507,0.98955,0.0,0.0,285903.0,80.21616,80.84216,83.74465,83.74377,92.3111,96.37163,96.37163,0.00392,0.00392,0.00392,0.06113,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.88112,3.8346,176.04518,164.5325,-37.49696,144.80557,2391.552,1197.87097,1.0,2367.03467,-37.5,145.0,-17174.2207,705.81732,-320.50803,3.05852,0.20834,42.97276,452.76712,0.07452,0.50196,1848.86353,160.0,160.08232,1.0,0.0,160.08232,1.0,10.0,1.0,152.40411,89.98572,9.70035,-2.49999,-2.49999,0.0,2.0,2.27038,3.80113,1.0,0.5, 
150.64398,3.27736,3.27736,0.0,2.2751,12.2751,0.98957,0.0,0.0,285903.0,80.31826,80.82675,83.72874,83.72853,92.4286,96.35332,96.35333,0.00392,0.00392,0.00392,0.05994,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.5213,3.85179,176.09673,164.58403,-37.497,144.80557,2391.59619,1197.60193,1.0,2370.55591,-37.5,145.0,-17173.94531,705.83173,-316.60327,3.00706,0.1097,42.96856,465.60977,0.07663,0.50196,1848.93408,160.0,160.08231,1.0,0.0,160.08231,1.0,10.0,1.0,153.06619,89.98696,9.69824,-2.49999,-2.49999,0.0,2.0,2.27038,3.80113,1.0,0.5, 
150.7518,3.38519,3.38519,0.0,2.27513,12.27513,0.9896,0.0,0.0,285903.0,80.41521,80.8167,83.71835,83.71829,92.54018,96.34135,96.34135,0.00392,0.00392,0.00392,0.06533,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.39494,3.87059,176.179,164.66629,-37.49704,144.80557,2391.60229,1197.23608,1.0,2374.10156,-37.5,145.0,-17173.625,705.83472,-311.97006,2.948,-0.03556,42.96741,480.84698,0.07914,0.50196,1848.99878,160.0,160.08229,1.0,0.0,160.08229,1.0,10.0,1.0,153.7769,89.9883,9.69574,-2.49999,-2.49999,0.0,2.0,2.27038,3.80113,1.0,0.5, 
150.86143,3.49482,3.49482,0.0,2.27516,12.27516,0.98963,0.0,0.0,285903.0,80.49392,80.80811,83.70941,83.70895,92.63075,96.33108,96.33106,0.00392,0.00392,0.00392,0.07081,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.50271,3.88864,176.28175,164.76903,-37.49708,144.80557,2391.56494,1196.82007,1.0,2377.11084,-37.5,145.0,-17173.30469,705.82446,-307.25958,2.88409,-0.13175,42.96695,496.33673,0.08169,0.50196,1849.03552,160.0,160.08228,1.0,0.0,160.08228,1.0,10.0,1.0,154.42462,89.98953,9.6932,-2.5,-2.5,0.0,2.0,2.27038,3.80113,1.0,0.5, 
150.96892,3.60229,3.60229,0.0,2.27519,12.27519,0.98966,0.0,0.0,285887.0,80.55492,80.79677,83.69759,83.69688,92.70095,96.31747,96.31747,0.00392,0.00392,0.00392,0.06865,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.66575,3.90567,176.39012,164.87738,-37.49712,144.80557,2391.50684,1196.39001,1.0,2379.56885,-37.5,145.0,-17173.0,705.80774,-302.64172,2.81687,-0.16694,42.9652,511.52042,0.08419,0.50196,1849.03381,160.0,160.08226,1.0,0.0,160.08226,1.0,10.0,1.0,154.99376,89.9906,9.69071,-2.5,-2.5,0.0,2.0,2.27038,3.80113,1.0,0.5, 
151.05777,3.69114,3.69114,0.0,2.27521,12.27521,0.98969,0.0,0.0,285887.0,80.59451,80.78457,83.68489,83.6842,92.74651,96.30286,96.30287,0.00392,0.00392,0.00392,0.06421,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.7683,3.91922,176.47997,164.96719,-37.49716,144.80559,2391.45508,1196.03052,1.0,2381.28809,-37.5,145.0,-17172.75195,705.79279,-298.82434,2.75878,-0.16641,42.96243,524.07086,0.08625,0.50196,1849.00317,160.0,160.08223,1.0,0.0,160.08223,1.0,10.0,1.0,155.41998,89.99142,9.68865,-2.5,-2.5,0.0,2.0,2.27038,3.80113,1.0,0.5, 
151.16771,3.80108,3.80108,0.0,2.27524,12.27524,0.98972,0.0,0.0,285887.0,80.63303,80.76719,83.6668,83.66622,92.79083,96.28204,96.28204,0.00392,0.00392,0.00392,0.05876,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.83314,3.93496,176.58891,165.07613,-37.4972,144.80559,2391.39429,1195.58887,1.0,2383.08081,-37.5,145.0,-17172.45313,705.77533,-294.10138,2.68538,-0.15189,42.95781,539.59717,0.08881,0.50196,1848.9364,160.0,160.08221,1.0,0.0,160.08221,1.0,10.0,1.0,155.89717,89.99232,9.6861,-2.5,-2.5,0.0,2.0,2.27038,3.80113,1.0,0.5, 
151.27707,3.91045,3.91045,0.0,2.27527,12.27527,0.98975,0.0,0.0,285887.0,80.66138,80.74886,83.64774,83.64727,92.82346,96.26011,96.26012,0.00392,0.00392,0.00392,0.05719,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.85071,3.94925,176.69511,165.18231,-37.49724,144.80559,2391.3396,1195.15442,1.0,2384.55322,-37.5,145.0,-17172.16406,705.75964,-289.40347,2.61178,-0.13752,42.95257,555.03937,0.09135,0.50196,1848.84717,160.0,160.0822,1.0,0.0,160.0822,1.0,10.0,1.0,156.32217,89.9931,9.68357,-2.5,-2.5,0.0,2.0,2.27038,3.80113,1.0,0.5, 
151.38193,4.01531,4.01531,0.0,2.2753,12.2753,0.98978,0.0,0.0,285871.0,80.68083,80.73112,83.62932,83.62888,92.84585,96.23891,96.2389,0.00392,0.00392,0.00392,0.06007,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.8548,3.96157,176.79614,165.28333,-37.49728,144.80559,2391.29102,1194.74133,1.0,2385.72095,-37.5,145.0,-17171.89453,705.74579,-284.89987,2.54109,-0.12868,42.94733,569.84155,0.09378,0.50196,1848.74658,160.0,160.08218,1.0,0.0,160.08218,1.0,10.0,1.0,156.68784,89.9938,9.68114,-2.5,-2.5,0.0,2.0,2.27038,3.80113,1.0,0.5, 
151.47522,4.1086,4.1086,0.0,2.27533,12.27533,0.9898,0.0,0.0,285871.0,80.69231,80.71524,83.61282,83.6124,92.85905,96.21991,96.21989,0.00392,0.00392,0.00392,0.06385,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.86541,3.97143,176.88617,165.37334,-37.49732,144.80559,2391.25,1194.37585,1.0,2386.59131,-37.5,145.0,-17171.66016,705.73407,-280.89337,2.47801,-0.12302,42.94253,583.00848,0.09595,0.50196,1848.64673,160.0,160.08217,1.0,0.0,160.08217,1.0,10.0,1.0,156.98239,89.99437,9.67898,-2.5,-2.5,0.0,2.0,2.27038,3.80113,1.0,0.5, 
151.57274,4.20612,4.20612,0.0,2.27535,12.27535,0.98983,0.0,0.0,285871.0,80.70013,80.69824,83.59515,83.5948,92.86805,96.19958,96.19958,0.00392,0.00392,0.00392,0.06708,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.88836,3.98072,176.98051,165.46767,-37.49736,144.8056,2391.20898,1193.99524,1.0,2387.35718,-37.5,145.0,-17171.42188,705.72241,-276.7059,2.41171,-0.1161,42.93723,596.76917,0.09822,0.50196,1848.53271,160.0,160.08215,1.0,0.0,160.08215,1.0,10.0,1.0,157.26213,89.9949,9.67673,-2.47837,-2.5,0.0,2.0,2.27038,3.80113,1.0,0.5, 
151.66789,4.30127,4.30127,0.0,2.27538,12.27538,0.98986,0.0,0.0,285871.0,80.7039,80.67493,83.57096,83.57066,92.87239,96.17175,96.17175,0.00392,0.00392,0.00392,0.0688,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.91849,3.9974,177.07242,165.55956,-37.49739,144.8056,2391.17188,1193.62634,1.0,2387.98218,-37.5,145.0,-17171.19531,705.71185,-272.62082,2.34641,-0.10658,42.92841,610.1922,0.10042,0.08234,1791.31982,160.0,160.08214,1.0,0.0,160.08214,1.0,10.0,1.0,157.50967,89.99536,9.67453,-2.39682,-2.5,0.0,2.0,2.27038,3.80113,1.0,0.5, 
