"  _real,_time ","   _totl,_time ","   missn,_time ","   timer,_time ","   _zulu,_time ","   local,_time ","   hobbs,_time ","   __USE,puffs ","   __TOT,puffs ","   __VIS,_tris ","   _Vind,_kias ","   _Vind,_keas ","   Vtrue,_ktas ","   Vtrue,_ktgs ","   _Vind,__mph ","   Vtrue,mphas ","   Vtrue,mphgs ","   _elev,stick ","   ailrn,stick ","   ruddr,stick ","   _trim,_elev ","   _trim,ailrn ","   _trim,ruddr ","   _flap,handl ","   _flap,postn ","   _slat,ratio ","   sbrak,handl ","   sbrak,postn ","   pitch,__deg ","   _roll,__deg ","   hding,_true ","   hding,__mag ","   __lat,__deg ","   __lon,__deg ","   __alt,ftmsl ","   __alt,ftagl ","   ___on,runwy ","   __alt,__ind ","   __lat,orign ","   __lon,orign ","   ____X,____m ","   ____Y,____m ","   ____Z,____m ","   ___vX,__m/s ","   ___vY,__m/s ","   ___vZ,__m/s ","   _dist,___ft ","   _dist,___nm ","   thro1,_part ","   rpm_1,_prop ","   NAV_1,__OBS ","   NAV_1,s-crs ","   NAV_1,_flag ","   NAV_2,__OBS ","   NAV_2,s-crs ","   NAV_2,_flag ","   NAV_1,n-typ ","   NAV_1,to-fr ","   NAV_1,m-crs ","   NAV_1,r-brg ","   NAV_1,dme-d ","   NAV_1,h-def ","   NAV_1,v-def ","   ___ap,__src ","   _fdir,_mode ","   _fdir,_ptch ","   _fdir,_roll ","   __HUD,power ","   __HUD,brite ", 
47.59469,0.01522,0.01522,0.0,2.27419,12.27419,0.8798,0.0,0.0,1042176.0,75.98233,81.6916,84.62547,84.62365,87.4389,97.38526,97.38526,0.00392,0.00392,0.00392,0.06667,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.65828,2.32854,173.88382,162.37166,-37.49574,144.80542,2392.23901,1216.43359,1.0,2158.36914,-37.5,145.0,-17186.82422,705.98444,-457.26059,4.76051,-0.27018,43.2732,2.17414,0.00036,0.50196,1831.75317,160.00183,160.08423,0.0,0.0,160.08284,1.0,0.0,0.0,1.21333,89.65241,0.0,-2.3501,-2.3501,0.0,0.0,1.65609,2.32481,1.0,0.5, 
48.27396,0.06547,0.06547,0.0,2.2742,12.2742,0.87982,0.0,0.0,416052.0,73.74458,81.68717,84.62084,84.61913,84.86375,97.37993,97.37993,0.00392,0.00392,0.00392,0.06667,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.67271,2.35995,173.90623,162.39406,-37.49575,144.80544,2392.19287,1215.81335,1.0,1970.96558,-37.5,145.0,-17186.58594,705.97125,-455.08606,4.74052,-0.2608,43.27306,9.35124,0.00154,0.50196,1788.81238,160.00183,160.08423,0.0,0.0,160.08282,1.0,0.0,0.0,5.12322,89.66966,0.0,-1.90145,-1.90145,0.0,0.0,1.66552,2.34358,1.0,0.5, 
48.7017,0.19324,0.19324,0.0,2.27424,12.27424,0.87985,0.0,0.0,416052.0,54.44469,81.64676,84.57882,84.5774,62.65383,97.33157,97.33158,0.00392,0.00392,0.00392,0.06667,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.70274,2.44467,173.96445,162.45226,-37.4958,144.80544,2392.08276,1214.24377,1.0,1655.23962,-37.5,145.0,-17185.98438,705.9397,-449.55807,4.6871,-0.23655,43.25727,27.59485,0.00454,0.50196,1741.83569,160.00183,160.08423,0.0,0.0,160.08281,1.0,0.0,0.0,14.17957,89.70962,0.0,-1.1189,-1.1189,0.0,0.0,1.7006,2.43736,1.0,0.5, 
48.8065,0.29804,0.29804,0.0,2.27427,12.27427,0.87988,0.0,0.0,285903.0,47.85828,81.60529,84.53576,84.53455,55.07433,97.28202,97.28203,0.00392,0.00392,0.00392,0.06667,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.71644,2.50336,174.0143,162.50209,-37.49584,144.80544,2391.99976,1212.96375,1.0,1522.86597,-37.5,145.0,-17185.49609,705.91595,-445.02579,4.64184,-0.21846,43.23997,42.55068,0.007,0.50196,1752.82727,160.0,160.08279,1.0,0.0,160.08279,1.0,10.0,1.0,21.91688,89.73869,1.40207,-0.87089,-0.87089,0.0,0.0,1.71509,2.49596,1.0,0.5, 
48.9136,0.40514,0.40514,0.0,2.2743,12.2743,0.87991,0.0,0.0,285903.0,44.53246,81.56722,84.49623,84.49516,51.24704,97.23653,97.23653,0.00392,0.00392,0.00392,0.06667,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.72298,2.55671,174.06831,162.55608,-37.49588,144.80545,2391.92065,1211.66199,1.0,1467.64148,-37.5,145.0,-17185.00195,705.89355,-440.39581,4.59508,-0.20298,43.22459,57.82718,0.00952,0.50196,1767.41541,160.0,160.08276,1.0,0.0,160.08276,1.0,10.0,1.0,36.03124,89.76541,7.11613,-1.45111,-1.45111,0.0,0.0,1.72241,2.55011,1.0,0.5, 
49.00315,0.4947,0.4947,0.0,2.27432,12.27432,0.87994,0.0,0.0,285903.0,43.91977,81.53853,84.46642,84.46545,50.54197,97.20222,97.20222,0.00392,0.00392,0.00392,0.06667,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.726,2.60062,174.11624,162.604,-37.49592,144.80545,2391.8584,1210.57751,1.0,1463.92908,-37.5,145.0,-17184.5918,705.87592,-436.52524,4.55558,-0.19242,43.21339,70.59681,0.01162,0.50196,1777.76636,160.0,160.08276,1.0,0.0,160.08276,1.0,10.0,1.0,46.70879,89.78562,8.73852,-1.77297,-1.77297,0.0,0.0,1.72566,2.59516,1.0,0.5, 
49.09293,0.58447,0.58447,0.0,2.27435,12.27435,0.87996,0.0,0.0,285903.0,44.65592,81.512,84.43887,84.438,51.38912,97.17052,97.17053,0.00392,0.00392,0.00392,0.06667,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.72915,2.6446,174.16695,162.65469,-37.49595,144.80545,2391.79858,1209.49329,1.0,1486.90405,-37.5,145.0,-17184.18555,705.85907,-432.64621,4.51554,-0.18357,43.20339,83.39307,0.01372,0.50196,1786.75281,160.0,160.08275,1.0,0.0,160.08275,1.0,10.0,1.0,56.48934,89.80412,9.36569,-1.99652,-1.99652,0.0,0.0,1.72868,2.63892,1.0,0.5, 
49.18475,0.67629,0.67629,0.0,2.27437,12.27437,0.87999,0.0,0.0,285903.0,46.34157,81.48679,84.41267,84.41186,53.32893,97.14037,97.14037,0.00392,0.00392,0.00392,0.06667,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.73411,2.6896,174.22159,162.7093,-37.49599,144.80547,2391.74023,1208.38708,1.0,1528.96521,-37.5,145.0,-17183.77148,705.84265,-428.67981,4.47405,-0.17572,43.19418,96.47639,0.01588,0.50196,1794.72705,160.0,160.08272,1.0,0.0,160.08272,1.0,10.0,1.0,65.6208,89.8214,9.60983,-2.1543,-2.1543,0.0,0.0,1.73337,2.68408,1.0,0.5, 
49.27423,0.76577,0.76577,0.0,2.2744,12.2744,0.88001,0.0,0.0,285903.0,48.49095,81.46368,84.38867,84.38791,55.80239,97.11275,97.11275,0.00392,0.00392,0.00392,0.06667,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.74146,2.73339,174.27744,162.76514,-37.49603,144.80547,2391.6853,1207.31152,1.0,1581.25867,-37.5,145.0,-17183.375,705.82727,-424.8154,4.43298,-0.16862,43.18603,109.22213,0.01798,0.50196,1801.48865,160.0,160.0827,1.0,0.0,160.0827,1.0,10.0,1.0,73.74256,89.83677,9.6991,-2.2603,-2.2603,0.0,0.0,1.74029,2.72744,1.0,0.5, 
49.36628,0.85782,0.85782,0.0,2.27442,12.27442,0.88004,0.0,0.0,285903.0,51.15441,81.44105,84.36515,84.36446,58.86744,97.08569,97.08569,0.00392,0.00392,0.00392,0.06667,0.00392,0.00392,0.0,0.0,0.0,0.00784,0.00784,1.75192,2.77835,174.33733,162.82503,-37.49606,144.80547,2391.63135,1206.20715,1.0,1641.6759,-37.5,145.0,-17182.96875,705.81213,-420.84033,4.39002,-0.16131,43.17829,122.33142,0.02013,0.50196,1807.56104,160.0,160.0827,1.0,0.0,160.0827,1.0,10.0,1.0,81.37075,89.8512,9.73295,-2.33559,-2.33559,0.0,0.0,1.7505,2.77292,1.0,0.5, 
