ID,Group,Flight_hour,status
PISSS_ID001,2C,230,1
PISSS_ID002,2C,220,1
PISSS_ID003,1A,42,1
PISSS_ID004,1A,35,1
PISSS_ID005,2C,180,1
PISSS_ID006,2B,90,1
PISSS_ID007,1A,49,1
PISSS_ID008,1A,35,1
PISSS_ID009,2C,220,1
PISSS_ID010,1A,35,1
PISSS_ID011,2C,300,1
PISSS_ID012,2C,175,0
PISSS_ID013,1A,23,0
PISSS_ID014,2C,155,1
PISSS_ID015,2B,133,1
PISSS_ID016,2B,200,1
PISSS_ID017,2C,420,1
PISSS_ID018,2B,116,0
PISSS_ID019,2B,98,1
PISSS_ID020,2C,230,1
PISSS_ID021,2B,63,1
PISSS_ID022,2B,100,1
PISSS_ID023,1A,50,1
PISSS_ID024,1A,28,0
PISSS_ID025,2C,200,1
PISSS_ID026,2C,150,0
PISSS_ID027,1A,18,1
PISSS_ID028,1A,28,1
PISSS_ID029,1A,40,1
PISSS_ID031,1A,26,0
PISSS_ID032,1A,10,1
PISSS_ID033,2B,1300,0
