,par_id,group,exp,roi,fix_dur,fix_rate
0,3.0,1.0,42.0,outside,0.7190489999999272,7.2379974229833985
1,3.0,1.0,42.0,ASI,0.7230079999999361,2.083665924798251
2,3.0,1.0,42.0,ALT,0.8845515000000432,1.9739992971772904
3,3.0,1.0,42.0,HSI,0.4390240000000176,0.1096666276209606
4,4.0,1.0,35.0,outside,0.4720270000000255,7.188032004218713
5,4.0,1.0,35.0,ASI,0.5520454999999629,4.375323828654868
6,4.0,1.0,35.0,ALT,0.4700220000000286,5.833765104873158
7,4.0,1.0,35.0,HSI,0.14203099999997448,0.5208718843636748
8,7.0,1.0,49.0,outside,0.7598390000000563,7.540901856982773
9,7.0,1.0,49.0,ASI,0.5040310000000545,4.142185527075044
10,7.0,1.0,49.0,ALT,0.5190239999998312,2.655247132740413
11,7.0,1.0,49.0,HSI,0.37301449999995373,0.4248395412384661
12,8.0,1.0,35.0,outside,0.14800700000012054,11.347985915213034
13,8.0,1.0,35.0,ASI,0.6350265000000377,1.8739793254480244
14,8.0,1.0,35.0,ALT,0.6975175000000036,2.2904191755475853
15,8.0,1.0,35.0,HSI,0.0,0.0
16,10.0,1.0,35.0,outside,1.0740820000000897,5.90123711919891
17,10.0,1.0,35.0,ASI,0.7705695000001356,2.898853321711745
18,10.0,1.0,35.0,ALT,0.6755260000001044,2.6917923701609063
19,10.0,1.0,35.0,HSI,0.4240270000000237,0.3105914273262584
20,23.0,1.0,50.0,outside,0.5509650000001329,8.84473149938828
21,23.0,1.0,50.0,ASI,0.4240230000000338,2.237823632375348
22,23.0,1.0,50.0,ALT,0.3770199999999022,2.237823632375348
23,23.0,1.0,50.0,HSI,0.3970785000000774,1.9181345420360119
24,27.0,1.0,18.0,outside,0.4860150000000658,14.302798533237011
25,27.0,1.0,18.0,ASI,0.6015204999999355,2.444922826194361
26,27.0,1.0,18.0,ALT,0.4965184999999792,2.444922826194361
27,27.0,1.0,18.0,HSI,0.0,0.0
28,29.0,1.0,40.0,outside,0.7380249999999364,8.473015738638841
29,29.0,1.0,40.0,ASI,0.5480245000001105,3.429553989449055
30,29.0,1.0,40.0,ALT,0.4705285000000572,3.6312924594166462
31,29.0,1.0,40.0,HSI,0.38800149999997297,0.8069538798703658
32,31.0,1.0,26.0,outside,0.360025999999948,9.482708043252345
33,31.0,1.0,26.0,ASI,0.7460340000001224,2.3967284065363077
34,31.0,1.0,26.0,ALT,0.4880220000000008,3.4387842354651363
35,31.0,1.0,26.0,HSI,0.23651100000000724,0.4168223315715317
36,32.0,1.0,10.0,outside,0.7165465000001063,9.237243188185523
37,32.0,1.0,10.0,ASI,0.5900350000000003,1.7961306199249634
38,32.0,1.0,10.0,ALT,0.4770135000001119,2.3093107970463813
39,32.0,1.0,10.0,HSI,0.6690340000000106,0.3848851328410636
40,6.0,2.0,90.0,outside,1.1650624999999764,6.118373557230023
41,6.0,2.0,90.0,ASI,0.3750430000000051,2.4262515830394924
42,6.0,2.0,90.0,ALT,0.5680279999999129,2.004294785989146
43,6.0,2.0,90.0,HSI,0.6670509999999013,0.10548919926258662
44,15.0,2.0,133.0,outside,0.5830139999999346,8.509141879338221
45,15.0,2.0,133.0,ASI,0.3985415000000216,3.963161971198624
46,15.0,2.0,133.0,ALT,0.4560189999999693,3.3803440342576496
47,15.0,2.0,133.0,HSI,0.4199889999999869,1.2821994612701428
48,16.0,2.0,200.0,outside,1.204550999999924,5.722201616076617
49,16.0,2.0,200.0,ASI,0.5040399999999181,3.6074749318743895
50,16.0,2.0,200.0,ALT,0.4069839999999658,3.6074749318743895
51,16.0,2.0,200.0,HSI,0.30047900000005257,1.2439568730601345
52,19.0,2.0,98.0,outside,0.9630700000000728,5.773488791233392
53,19.0,2.0,98.0,ASI,0.5645334999999818,3.20749377290744
54,19.0,2.0,98.0,ALT,0.4360349999999471,4.811240659361159
55,19.0,2.0,98.0,HSI,0.502044000000069,2.2452456410352077
56,21.0,2.0,63.0,outside,0.6970380000000205,9.539928588173733
57,21.0,2.0,63.0,ASI,0.4680070000000569,1.6448152738230573
58,21.0,2.0,63.0,ALT,0.38103600000005133,2.6317044381168917
59,21.0,2.0,63.0,HSI,0.4530144999999379,1.9737783285876684
60,22.0,2.0,100.0,outside,0.9210449999999356,6.9542561087212285
61,22.0,2.0,100.0,ASI,0.5350260000000162,0.7726951231912478
62,22.0,2.0,100.0,ALT,0.6473550000000046,2.6492404223699917
63,22.0,2.0,100.0,HSI,0.5030430000000479,2.9803954751662416
64,1.0,3.0,230.0,outside,0.7395274999999515,7.0971914168270365
65,1.0,3.0,230.0,ASI,0.4625350000000026,5.3766601642629075
66,1.0,3.0,230.0,ALT,0.3900019999999813,2.4732636755609367
67,1.0,3.0,230.0,HSI,0.23998299999993836,0.3225996098557744
68,2.0,3.0,220.0,outside,0.7785319999999842,7.408433887080432
69,2.0,3.0,220.0,ASI,0.4160379999999577,4.9026400723326375
70,2.0,3.0,220.0,ALT,0.34405100000003586,3.704216943540216
71,2.0,3.0,220.0,HSI,0.3580205000000092,0.43579022865178996
72,5.0,3.0,180.0,outside,0.8655515000000378,7.584446735690937
73,5.0,3.0,180.0,ASI,0.6300270000000411,3.6806873864382483
74,5.0,3.0,180.0,ALT,0.5135255000000143,2.453791590958832
75,5.0,3.0,180.0,HSI,0.2940170000000535,0.11153598140721964
76,9.0,3.0,220.0,outside,0.3565235000000371,12.693014572455883
77,9.0,3.0,220.0,ASI,0.3080235000000471,4.231004857485294
78,9.0,3.0,220.0,ALT,0.5350409999999215,4.008320391301857
79,9.0,3.0,220.0,HSI,0.3560459999999921,0.5567111654585913
80,11.0,3.0,300.0,outside,1.4590800000000854,4.221166636163863
81,11.0,3.0,300.0,ASI,0.7540479999999548,2.5976410068700706
82,11.0,3.0,300.0,ALT,0.6250350000000253,1.2988205034350353
83,11.0,3.0,300.0,HSI,0.6000179999999773,0.1082350419529196
84,14.0,3.0,155.0,outside,0.5520060000000058,7.404762372256608
85,14.0,3.0,155.0,ASI,0.6160784999999578,4.641791337832501
86,14.0,3.0,155.0,ALT,0.5820440000001099,3.4260840826858936
87,14.0,3.0,155.0,HSI,0.3070309999999381,0.7736318896387502
88,17.0,3.0,420.0,outside,0.5680399999999963,9.284692729805933
89,17.0,3.0,420.0,ASI,0.4370000000000118,5.36946085579138
90,17.0,3.0,420.0,ALT,0.35752049999996416,2.4610028922377167
91,17.0,3.0,420.0,HSI,0.4035049999999956,0.8949101426318969
92,20.0,3.0,230.0,outside,0.9330309999999143,5.286522523928898
93,20.0,3.0,230.0,ASI,0.5199979999998732,1.3475449570799154
94,20.0,3.0,230.0,ALT,0.568033000000014,3.2133764361136445
