par_id,exp,group,transition
003,42,1,BXXBXXXXXXZEEXBXBXBEXEXXXEEXEXXEXXBXBXEBZZZXBXBZXXBXXXXBXBXXXXXBXBXZEXEXEXDBXBXEXEXEXEXEXXEXXZXXXXXBXXXBXXXXXXX
004,35,1,XEBXXEXBXZBXEXEXEBXEXEBZEZXEZXXEXEXEXEXEXXEXEBEXEXEEXBXEEXEXBXBXEEBBXBEBXZEBEBXBXZEXEEBXEXXXEBEXEEBXEDEBXEZXZXBDEXBXBDBXEBXXEBEBXEXEEXDBXEXBXEBEXXEBXBXXEXBEXBEBEXBXEBXBXBEXBDBXXXBX
007,49,1,XEXXZEXZXEBXBDEBXEXEXDXBXBXEXZBXZZXEEXBXEXEXBXEDEXBEXBXEBEBZXEBXEXEBEBXBEBXEXBXBEDXZBXBXXZXXXBXBXBXBXBXXBXXBXBXBXXBXEBXXXBXXXXXBXBXBXXEXXXXBXBXXXBX
008,35,1,XXEBEEXXEEZXEEXXXXBXXEXXXXXXEXBEEXEXBXXXBXEBBXEBBXXXXBXXXXXXZXXXXBEXXXXXXXXEXXEXXEXXBXXXXXXXXXXBEXXBXXXXXXEXXXBXXXXBXXXEBEXXXBXXXXXXXXXXXXXXXXXXXXXXZXXX
010,35,1,XEXEBEXXEEXXEBXEEXBBEXXXZXXXDBEXEXEXBXEBXBXZZXBXBXEZDXEBXBBXBEXBXXXEBEXBXBXXEBXEXBXXXBXXXXXDEBXXEBXEXBXBXBXEXEXBXXXEBX
023,50,1,ZZZZZEXEXEBXBXZXEXZZXEBZXXBXEXZXDXEXBEXZXZEXXBXXZXZXZXDXBXEBXDEXBXBEBXBXDXBXEXXXEXXXEXDXBXZZXXXDXZXBXEXDXXDXDXBXXEXXDXEXEXDXEXDXZDZDZEBZDZDXBXXXPXXXXBXBXZXDXXBXXDXXXZXXX
027,18,1,BXXEXEXXXXXXBEXXXXXXBEXXXXEXEXXBXXEXXXXXXXEXXXXXBXXXXBXXEEEBXXXBXXXXEXXXXXXEXXXXXXBXXXEXXXXXBXBXXXBXXXEBXXXEEXBXBXXXBXXXXXXXXXXXBXXXEXXXXXXXXBXXXBEXXXXBXXXEX
029,40,1,XEXEXEBXXBXBXEXEXEXXEXEBXDEXEBXEZXEXEXEXEBZBXBXBXEXBXEBXBXBXBXBXBXXEDEXEXBXXEBXEBEXBXBXEXEBXEEXBXEXEXBXXXXDXEBXXXXZZXZDXXBEXXXXXEBXZXDXEXBXEDXXXZDXXBXXEDXEXBXBXBXXBXXXBXZZ
031,26,1,XXEXEXXXXXEXXEXXPEBZZXXXEEDXEDZXEBXBXXBXEBDBXBXBXBXXBXBXEEBXBXBXEXXXBXEEBEXEEXBXXXEBEXXXXXXEXEXXXXXXEBXXXEDXEXEBXXXXEXXXXXEBXXXXEEBXXXXXXXXXEEXXXEXXXXXXXBX
032,10,1,XEXEXXXEZXXXZXZXXXEXXXPPXEXZXEXXZBXXXEXXEXXXXXXXEXBXXEBXBXEXXXBXEZXEBXBXXEXXXEBXBXBXBXDXBXBXDXBXDXXXZEXXXXXXXXXEEXXX
006,90,2,XEXEXXEXEXEXBXEXDXEBEXEXEEEXEXZXZXZZXBXEBXBXBXXXBXBXZXXBXBXBXEXBXBXXBEXXBXZXBXXBXBEXBXXBEXXXBXBXEXXXBXXXZXXX
