id,transition,group,rating
001,ZXZAZASAXAXSXASAXAXSAZAZXZXSAZXZAXSXSXSXSXSXSXSXZAXSXASXSXSAXSXZXAXSXSXZXSXSXSXAXSXSXSXSXSXSXSX,2,1
002,XAXAXAXAXSZXASZXSXAZAXAXAXAXSAXAXAZSXSXSXSASXZSXZXSXSXASXSXAXAXSXSXSXAXSXAXAXSAXSZXAXAXSXASXSXSXSXSAXSXSXSX,2,1
003,ZAXAXAXAXSAXSXZXSXSAXAZXZXZSZSXSAXSZXSXSXASXSASXASXSZSAXSZSXAXASXAXAZXSXSXSX,1,0
004,XAXSXZASXAZXZXAXAXAZASAXAXAZASAZXSXSASASXSXSXZAXZSAXZXASXSXAXSZXASXSAXSAXSAXZXAXASAXAXSXAXSAXAXASXSXSXSX,1,0
005,ASZAZAZAZSZAZXZAZAXZXZAZSAZAXZAXAZSZAZAXZSZXZAXSXSXAZSXSXSXSAXSXSXSXSXZXSXSXSXZSX,2,1
006,XAXAXAXAXZXAXSXAZXAXAXAZXAZAXZXZXAXASXSXSZSXSXZSXAXAZXSXSAXSXAXAXSXZXSXAXSXSXSXSXSX,2,1
007,XAXSXAXZXAXAXAXZXZXAZXAXAXAXSZAXZXZSAXSXZXZAXSXSXZXASXSXZXAXZAXSXAXSXAXSXAXSXAXSX,1,0
008,XASZASZXAXAXSAXSAXASAZSZSAZSXSZAZSAZAZASZXSZS,1,1
009,XAZXAXAXSXSXAXZXAXAXSAXAXSXAXAZXSZXZAXAXAXSASASXASASXAXSAXASASASXSASXSASXSXSXZX,2,1
010,XASZAXAZXASXSZAXAZAXZXAXSZXAXAZSZXSXASZSXSAXAZAXAXZASAXAXASAXAXSXSXSXAZXZASXAXSXAXSXAX,1,0
011,XASXASZAZXAXASAZXAXAZAXAZXSXSZSXSXSXSXZSXSAXASAXSXAXSAXSXSXSXSXSX,2,0
014,ZXAXAZXAZAXZXAXAXAXSZSZAZSZAZSZAZASXZXSAXSXZXAXSXSXSXAXSXASASASXSXSXSXSX,2,0
016,XAXAXASAZXAXZXZSAZSXZAXSXZXAZXAXZAXZSXASXSAXSAZXSZXSXSXZASXASXSXSXZSXAXAXSXSAXSAXSAXSXSXAXSXAXASX,2,1
017,XAXSZAXSZXSXSXZSXSXSXSZSXZXSXSZXASAXSXZXSZXASXSXSXAXSXSXSXSXSXSXSXSXSXZXSXSXSX,2,1
019,AZAXSASASAXSASAZXAZAXAZXZSASXAZXAZAXSASXSAZSXASAZSASXASAXSASXAXSAXZSAXZAXSASAXSAZXSXSXZAXAXAXSAZXZSXZAXSXSAXZAXSAXZAXSASXSXSXZXSXSAXASXSXSZXSXZXZXSXSXSX,2,1
020,XZAZAXSZXAXSZXZAXAZXAXZXAZXZXZXAZSXSXSXAXZAXZASZAZXZAZSZAXZAXSXAXAXZXAXSXAXZXZAXSZAZXZASXSAXAXAXSXZXSX,2,0
021,XZAXZAXSXSXZXZSASXSAZXZAZXZXAZXSZXSXSAZSZSXSXSXSXSXZXSXSXSXAXSAXASXSXSXSXSXZSXAXAXSXSXSXSXSXSX,2,1
022,XSXSXSZXAZAXAXSXZXZXZSXZXZSASXAXASXSXSXSXSXSXZAXSXSXAXSXSAXAZXSXAXZXSAXSXAXZXZAXAXSXZXSXSAXZAXAXSAXZXSXAXSX,2,0
023,ASXAXSXSAXSXZXZAXAXSZXSXSZAXAZXAXAXAZXZXSXZXZXSXSXSXSASXSXSXSXAXASXASXAZXAXSXSXZXAXAZSXZXSXSXSZSXSXSXSXSXSXSX,1,0
025,AZSXAZAZSZSXZXSXAXZXZSXZAXSASXSASXZSXZSZSXSXSZSXSXSXSXZAXSXZSXZASXSXSXSXASXSAXSXSXAXZXSXAXAZXSXSXSXSXSX,2,0
026,XSAZAZXSAZXASZSAZAXAZAXSXAZSZXSAZAXSASASAXASXAXZAXSXSXZAXAZXAZASXZXSXAX,2,1
027,AXSXSXZXAXSAXZXZAXSZXSXSXSXSXSXZXSXAZXSXSXSXSXSXAXSXAXAXASXAXSX,1,0
